rank,team,country,score
4395,LAE,France,65917
4396,Orediggers,United States,65876
4397,latency_lords,India,65782
4398,PierreChartier_intern,France,65750
4399,4096,India,65708
4400,Mystic Coders,India,65581
4401,flux,Netherlands,65565
4402,Gaussian traders,India,65562
4403,Neel Quant,India,65543
4404,Night Managers,India,65539
4405,TheLastWun,United States,65419
4406,magnolia bakery,United States,65368
4407,breaking bids,India,65304
4408,Fraser,Australia,65284
4409,The Imperium,India,65276
4410,SHIVANGMRAVAL,United States,65252
4411,South Deccan,India,65097
4412,Bawa,India,65093
4413,CEO of IMC,Italy,64987
4414,Trex Traders,India,64981
4415,osdsa,India,64936
4416,Solo Nomad,Hungary,64910
4417,Vynapse Labs,India,64530
4418,REALM OF IMPERION,India,64522
4419,demolitionimc,India,64507
4420,Lag Gaye Brokers,India,64327
4421,Iron n Ink,India,64310
4422,Salt_Pepper,Australia,64285
4423,DevAnchor,India,64032
4424,LoneWarrior,India,63975
4425,Ankhbayar,United States,63949
4426,Monarchy,India,63922
4427,to lam,Vietnam,63893
4428,Nomads in Quant,India,63887
4429,Fancy Farmers,India,63815
4430,Burgerman,Hong Kong,63802
4431,HedgeZ,India,63763
4432,Doyrwork,India,63719
4433,Stochastick Daddies,United Kingdom,63622
4434,VanilaG,Singapore,63580
4435,Ignivox Trader,India,63535
4436,Black Flamez,India,63534
4437,aurelia,United States,63500
4438,Hold Fast,Australia,63498
4439,Beta generator,United States,63451
4440,Team Invincible,India,63426
4441,cosmicx,United Kingdom,63398
4442,Horizon Traders,India,63311
4443,Sell Low Buy High,United Kingdom,63291
4444,Soraro,United Kingdom,63285
4445,TLDR,China,63257
4446,Honey,India,63223
4447,Black Swan Ops,India,63217
4448,Vishu,India,63216
4449,games gone,Australia,63000
4450,IC_quant,Australia,62930
4451,Code Conqueror,India,62787
4452,bl0ck,United States,62575
4453,Evoke,India,62560
4454,RLisOverrated,France,62540
4455,Les Sorbonautes,France,62501
4456,Darth_Vader,India,62489
4457,curiosus,India,62448
4458,strlix,India,62382
4459,busd,United States,62343
4460,Orbit Optimizers,India,62340
4461,Inflection,United States,62125
4462,Ashley solo,United States,61968
4463,FishBuns,Australia,61966
4464,Indian Coder,India,61954
4465,Afaq,France,61917
4466,Techzz,India,61862
4467,LMU Tigers,Germany,61828
4468,Altos,India,61757
4469,Lvrged Demons,Canada,61757
4470,Noise Traders Inc,United Kingdom,61705
4471,Pr0sp3r1tyIV,Australia,61700
4472,Rising_5tars,United States,61673
4473,uptik,Netherlands,61601
4474,world11,Canada,61572
4475,QUANTWHALES,India,61508
4476,Magpie Trading,India,61403
4477,ProspTraders,India,61402
4478,Techie_traders,India,61312
4479,TheBigO,Canada,61308
4480,syrup,United States,61272
4481,VU_Amsterdam,Netherlands,61199
4482,Darinde,India,61142
4483,PokerFace,India,61024
4484,Claude,United Kingdom,60967
4485,Toposa,Portugal,60949
4486,Quant_lords,India,60945
4487,GT,India,60893
4488,Quarks,India,60871
4489,Koeri,Germany,60801
4490,Gimbal001,Kenya,60571
4491,Riptide GT2,United States,60185
4492,S-I-G-M-A,Germany,60179
4493,Enlightenment,United Kingdom,60113
4494,SparkTribe,India,60034
4495,whatwilluhaveafter500yr,India,59978
4496,Gravity Glitch,India,59975
4497,Bayes Runners,United States,59942
4498,causalityReversal,India,59808
4499,arasaka,United States,59673
4500,TXPandas,United States,59515
4501,WuHan,Australia,59363
4502,Trader Gurus,India,59208
4503,Baseline algo,India,59181
4504,Team Bras Casse,France,59115
4505,Raikes School,United States,59114
4506,Riviere,Sweden,59048
4507,Solon Capital Strategy,Netherlands,58964
4508,Team Crouton,France,58902
4509,Team Diamonds,India,58752
4510,Team Traders,India,58743
4511,xXx_AmDatoriiLaStat_xXx,France,58663
4512,Qui va aux rattrapages,France,58590
4513,Fat Tail,Czech Republic,58588
4514,The code endeavour,India,58586
4515,SBU BitBlitzers,United States,58560
4516,team4,Canada,58500
4517,Pani Puri,India,58469
4518,Bytecrushers,India,58443
4519,Masada,Mexico,58419
4520,TaemZ,India,58333
4521,Intestellar,Germany,58319
4522,KTH ICT,Sweden,58288
4523,BAJA,Australia,58207
4524,TrueAdams,United States,58000
4525,Starlord,India,57949
4526,jOne,United Kingdom,57938
4527,Rocket_Launcher,India,57934
4528,Marginal Gains,India,57566
4529,offbyonealpha,United States,57502
4530,ArbHunters,India,57493
4531,Masti,India,57466
4532,Astronomical,India,57456
4533,nirvana,United States,57357
4534,Novice trader,United States,57299
4535,Event_Horizon,India,57295
4536,Helion,India,57245
4537,TigerQuant Alpha,United States,57203
4538,Sweden_Spread,Sweden,57194
4539,DAX,India,57184
4540,Typology,Kazakhstan,57129
4541,Vesuvius,Italy,57065
4542,Talent_Ki_Talash,India,57051
4543,Aeronode,India,56977
4544,getwellpaidjob,Poland,56966
4545,WeTheDevz,India,56933
4546,PeakProsperity,India,56901
4547,NutellaPazza,Italy,56868
4548,Team Metabyte,India,56861
4549,NoobQuant,India,56856
4550,Timepass4761,India,56850
4551,The Reckless Penguins 4,Australia,56765
4552,QUANT_DUO,United States,56737
4553,aabx,China,56712
4554,Athena Alliance,United Kingdom,56641
4555,Alpha_Team,India,56569
4556,TT4,France,56506
4557,trade,India,56496
4558,FunkyMonkey,Albania,56494
4559,Derya,United Kingdom,56436
4560,SaChak,United States,56429
4561,UOtter,Canada,56403
4562,Devmat3z,India,56326
4563,Dipanshu kumar singh,India,56300
4564,SoloAllTheWay,Hong Kong,56262
4565,Kernel3,India,56223
4566,Eagles Finance AHS,United States,56184
4567,Sudo Forge,India,56153
4568,S00shgoat,United States,56098
4569,Void_gems,United Kingdom,56073
4570,AlphazBeta,Australia,56000
4571,Google Shallowmind,United States,55999
4572,Child,Australia,55972
4573,Blasters,India,55968
4574,CodeRunner,India,55845
4575,MathNoles,United States,55706
4576,ScriptStorm,India,55579
4577,Ashia Agarwal,United States,55380
4578,PALAZHI,India,55335
4579,Zypher,India,55335
4580,Event Horizon Traders,India,55321
4581,TigerQuant to the Moon,United States,55319
4582,Dimbles,Australia,55302
4583,MIGHTY18,India,55213
4584,Haad,United States,55192
4585,Bruin Alpha,United States,55185
4586,SR5,India,55090
4587,Stock Mesher,India,55088
4588,Nebulae,India,55078
4589,The SHIELD,India,55020
4590,Arthion,India,54935
4591,Standard Deviants,United States,54922
4592,Nordic Edge,Finland,54883
4593,AIHACKER,India,54849
4594,Children of the Noise,Canada,54793
4595,Stock Overflow,United States,54571
4596,Markov gang,India,54501
4597,Gulmohar,India,54408
4598,Olyfan_69,India,54400
4599,CRS,France,54352
4600,Felix,Netherlands,54328
4601,Alpenpat,Germany,54298
4602,Alien0nEarth,India,54200
4603,DracoQuant,India,54164
4604,Terrible_Macro_Model,United States,54065
4605,The Overflows,India,54041
4606,AceX,India,54001
4607,HFT Warriors,Canada,53753
4608,The flying chariot,India,53734
4609,JesterMaxxer,United States,53706
4610,Clash_Of_Quant,India,53616
4611,90210,United Kingdom,53611
4612,Neural Grid,India,53554
4613,Rav cap,United States,53502
4614,cheatadel,United States,53492
4615,Take Five Goes To Space,Australia,53451
4616,trad2win,India,53405
4617,Quantaflare,India,53373
4618,The Society,India,53092
4619,im not,New Zealand,52941
4620,Bulls and Bears,Italy,52866
4621,john_z11,United States,52865
4622,NIFTY05,India,52700
4623,hope45,India,52700
4624,Institute,India,52696
4625,FeatherSparkSpread,France,52613
4626,ORCA,United Kingdom,52519
4627,Emperorpig,United States,52493
4628,AlgoPathFinders,India,52477
4629,frequentflyers,Germany,52434
4630,Apollo X,France,52405
4631,Team Plankton,United States,52342
4632,The Simmons Supernova,Ireland,52291
4633,Trial nd Error,India,52259
4634,trading123,United States,52256
4635,Horizon_404,India,52208
4636,Green FX,Australia,52162
4637,ONE CARD FACE DOWN PLZ,United States,52118
4638,Toto Keno,Germany,52093
4639,OrbiTrade,United States,52065
4640,Market Miners,United States,52003
4641,Commerce Acquisitions,United States,51979
4642,pikachu_,India,51800
4643,Maruts,India,51796
4644,parhelion,United States,51771
4645,SparkleRise,United States,51737
4646,Reddy,United Kingdom,51724
4647,BDFTC,India,51706
4648,Amrtyu,United States,51684
4649,nothing64,India,51683
4650,Sea Urchins,Germany,51677
4651,QuantDevelopers,India,51669
4652,Random walker,China,51540
4653,rberry,United States,51519
4654,BrownRock,United States,51483
4655,AI,Australia,51397
4656,Beam,United States,51364
4657,NeuralNerds,United States,51318
4658,AMAZONNOVA,India,51300
4659,t-AEC,India,51279
4660,Team Unicorns,India,51231
4661,Graduation 2007,India,51143
4662,Trade warriors,United States,51092
4663,Termine,India,51083
4664,Monte Carlo Bay,Netherlands,51017
4665,TACOBABY,Singapore,51017
4666,aphelion,India,50991
4667,riiiiRiiirock_007,India,50968
4668,Gamma Capital,Canada,50915
4669,Hacker Squad,India,50802
4670,Moon Money,United States,50762
4671,Martingale_Moves,India,50707
4672,Stochastic Syndicate,India,50648
4673,67,Switzerland,50608
4674,Minerva research,Italy,50501
4675,theneighbours,Bulgaria,50467
4676,Mayank0415,India,50452
4677,Space Exchange,Germany,50443
4678,Queens of Quant,United States,50303
4679,Marx,India,50240
4680,kelly_criterionites,Romania,50224
4681,MIFFI,India,50172
4682,CarpaDiem,India,50166
4683,Alpha Flow,India,50150
4684,toibingu,United States,50147
4685,nusastronauts,United States,50000
4686,BucknellQuant,United States,49999
4687,2fast2fourier,Romania,49925
4688,Team47,India,49775
4689,Lobotomized cannot type,Mexico,49732
4690,Oops We Did It Again,United States,49647
4691,404 Knowledge not found,United Kingdom,49574
4692,SKOOBIE-DOO,India,49552
4693,Comeback,United Kingdom,49546
4694,Sirf Study,India,49410
4695,KMAS,India,49302
4696,Siddhant,India,49265
4697,Oikonomos,Spain,49178
4698,invincible47,India,49057
4699,Let_Us_Prosper,India,49047
4700,classics,United States,49024
4701,lrutts07,United Kingdom,49014
4702,the leyders,Netherlands,48999
4703,Jacky Chan,Kyrgyzstan,48998
4704,Burnt Orange Swan,United States,48983
4705,Hawaii,United States,48773
4706,ICBC,United Kingdom,48769
4707,Parallax,India,48719
4708,Austin,United States,48525
4709,HotWater,United States,48434
4710,FRIENDS,India,48380
4711,Vecna_,India,48378
4712,Team name already exits,United States,48368
4713,Bloppers,Australia,48353
4714,EmilioRunninSolos,United States,48199
4715,Shinchan,India,48055
4716,TradeVex,India,48041
4717,Team Veritas,India,48000
4718,IIScTrotters,India,47950
4719,bullish111,United States,47915
4720,PHM,South Korea,47898
4721,Tudo Capital,United Kingdom,47885
4722,KENT,Germany,47718
4723,Dareths Mojo Dojo,United States,47700
4724,Forensik,Germany,47689
4725,Moon66,United States,47672
4726,One Sigma,United Kingdom,47607
4727,It Worked On MNIST,France,47599
4728,QUARCC,Canada,47510
4729,TACO trading,Romania,47445
4730,Dark Matter Traders,United States,47346
4731,I_am_Groot,India,47246
4732,log horizon,Singapore,47187
4733,FSquant,Germany,47026
4734,Planet Pluto,India,47003
4735,Lone Axiom,India,46899
4736,Alpha Dominus,India,46836
4737,69laTrick,France,46821
4738,Raghav Pandey,India,46800
4739,Gargantua Capital,India,46696
4740,PnLMaker,France,46689
4741,plai,United States,46637
4742,Dalal,India,46612
4743,beanlover67,Australia,46595
4744,Neutrino,India,46245
4745,CatEXpress,United States,45932
4746,arty,United States,45900
4747,Ragnir,Canada,45652
4748,TechNova,India,45637
4749,SpaceInvader,Switzerland,45540
4750,543212345,United States,45501
4751,WheresMyEV,Belgium,45337
4752,Marina_Sprint,India,45282
4753,Quant_Dominator,India,45265
4754,L0CKEDIN,India,45251
4755,claudia,Hong Kong,45246
4756,zz,China,45118
4757,Silent Sharks,India,45106
4758,QuantSpain,Spain,45106
4759,Solo Quant Researcher,Australia,45041
4760,HappierTrading,India,45034
4761,GetUsAJob,India,45004
4762,Mission Impossible,India,45000
4763,Racqueteering,Australia,44927
4764,Trading Club ZH,Switzerland,44870
4765,3aesieunhan,Vietnam,44869
4766,All_a_lone,India,44856
4767,GANN,India,44626
4768,Untitled_786,India,44435
4769,yvss,India,44431
4770,Alpha Gen,India,44394
4771,Random players,India,44241
4772,J-Sigma-Cubed,Australia,44208
4773,Astrotheo,United Kingdom,44199
4774,the maker of markets,United Kingdom,44089
4775,Fair Value,Australia,44044
4776,East India Company,India,44000
4777,Nexus_01,France,43700
4778,paikse re,Germany,43542
4779,Buy_First_Think_Later,India,43392
4780,maximilian,Germany,43294
4781,silly dolphin llc,Canada,43250
4782,Alphas,India,43220
4783,Last_shot,India,43199
4784,Chicken Biryani,India,43181
4785,Hmm,India,43145
4786,Kya Napoleon Nepali Tha,India,42983
4787,Assets and Aces,United States,42945
4788,M3,United Kingdom,42875
4789,MC2,India,42821
4790,Team_Falcons,United States,42765
4791,rockyrockrock,United States,42723
4792,TraderAssemble,India,42655
4793,Team Arrow,India,42424
4794,Kingfisher,India,42334
4795,3lambda,United States,42290
4796,Oppenheimer,India,42178
4797,Making Cents,India,42164
4798,The Greedy Approach,India,42119
4799,Venera 7,United States,42113
4800,grandmasters,India,42064
4801,astronova,India,41927
4802,ValueMining,India,41900
4803,TWin2026,United States,41898
4804,VolEdge,Singapore,41855
4805,Rohan,Singapore,41826
4806,Bazaar Barterers,Australia,41793
4807,LuMiNouS,Malaysia,41768
4808,TryThisOut,Netherlands,41727
4809,Buri_Buri_Zaemon,India,41689
4810,Lircay,Canada,41539
4811,Cutieraptor,India,41492
4812,Csempeszkopacs9,Hungary,41325
4813,RedSpot,India,41273
4814,CodeKarter,India,41181
4815,Cosmo_Assasins,India,41151
4816,Nation of Andrea,Italy,41033
4817,YM Trading,Australia,40815
4818,Black Atlas,United States,40751
4819,Sole-Runner,India,40693
4820,GHFM,Singapore,40506
4821,Shri,India,40500
4822,xforce,Canada,40343
4823,OverThink,Greece,40288
4824,Prosperous One,India,40131
4825,SthirSpace,India,40109
4826,VinDeezNuts,India,40060
4827,Yuzu,Switzerland,40022
4828,Smasher,India,40000
4829,Juice,India,39864
4830,Innovative_TRADES,India,39788
4831,UglyDucklings,India,39766
4832,Moteno Capital,United Kingdom,39744
4833,ZeroG,India,39741
4834,StrawberryShortcake,United States,39701
4835,RJ lead,India,39658
4836,IGE 4L,France,39340
4837,DIV2D,India,39324
4838,Galactic Greeks,India,39000
4839,pico,India,38811
4840,ree,United States,38802
4841,Broken Beta,Australia,38700
4842,3 Ekka,India,38670
4843,Claude Bisio,Portugal,38515
4844,lets-see,Netherlands,38495
4845,MoravianGoods,Czech Republic,38183
4846,Smile capital,India,37967
4847,HARI,India,37887
4848,Parity Pros,India,37853
4849,Alchemist,India,37778
4850,The who,India,37696
4851,Bulls98,France,37653
4852,Carbonara,Canada,37651
4853,The_Funded_Trader,India,37627
4854,CitadelSecurityOfficial,United States,37562
4855,Les SanctoCentraliens,France,37480
4856,ProsperDK,Denmark,37418
4857,trading_skill_issue,India,37276
4858,Wrathragers,India,37186
4859,TechHelioss,India,37095
4860,indian brainrot,India,36961
4861,galactic traders,United States,36907
4862,The Hog Rider,India,36822
4863,raka,India,36742
4864,Babarians,United States,36660
4865,BitPros,India,36621
4866,mhmm,India,36604
4867,Your Worst Nightmare,United States,36505
4868,UTProsperity,United States,36453
4869,Cicada_0,India,36333
4870,HyNgoc,Vietnam,36105
4871,Yellow Scholes,United States,36046
4872,Moonshine,United States,36025
4873,X1,France,35921
4874,NEBULANPINGU,Australia,35798
4875,nishant-team,India,35717
4876,Trade Club,India,35682
4877,Eagle Fang,United Kingdom,35674
4878,all in no fear,Hong Kong,35650
4879,Fundamentals rule,United States,35549
4880,NONCH,India,35514
4881,Number One Trader,United Kingdom,35493
4882,Wall Street Quants,India,35413
4883,QT,Thailand,35341
4884,Numan,India,35315
4885,Curious_coders,India,35240
4886,dtba,United States,35187
4887,Draconis,India,35131
4888,Asian-Sweats,United States,35069
4889,Lucky,China,35034
4890,jkTeam,United States,34989
4891,Agent Smith,United States,34901
4892,imarch,United Kingdom,34795
4893,that makes you say real,Netherlands,34787
4894,BigShort,India,34718
4895,Bcn,Spain,34716
4896,The Eigenfaces,India,34687
4897,QUANTABLES,India,34685
4898,Quantz,United States,34677
4899,Money_Mobster_22,India,34508
4900,Access Denied,India,34502
4901,Operation Space Cadets,Australia,34496
4902,soch,United States,34493
4903,Bama,United States,34479
4904,illegitimate_pirates,India,34425
4905,Trade_Algo,India,34193
4906,Veritas Edge,Canada,34189
4907,Spicy Chicken,United States,34145
4908,Alphas_26,India,34123
4909,Titan 04,United Kingdom,34098
4910,Risk Reaper,India,34049
4911,Code Buyers,India,34038
4912,Kuber but in Debt,India,33991
4913,EduCunef,Spain,33842
4914,Matterhorn Markets,Switzerland,33833
4915,Alpha Generatorz,United States,33739
4916,ByteSpace,India,33651
4917,Karsten Country Club,Germany,33595
4918,Cosmonautica,Australia,33450
4919,jets_psd,India,33426
4920,Katagiri,India,33380
4921,Trinity0401,India,33362
4922,Quantum Knights,India,33316
4923,Afters,Ireland,33105
4924,Dupahar,India,33099
4925,tgongcu,United States,33073
4926,Dtrade,India,33021
4927,Pardaillan,France,32919
4928,TraderM,United States,32908
4929,Trading addicts,France,32861
4930,Jit2,United States,32855
4931,Vandy Quant Labs,United States,32792
4932,Quantrol Theory,Australia,32767
4933,Virgil van Dijkstra,Australia,32646
4934,PROTRADER,India,32619
4935,Future Quants,United Kingdom,32593
4936,ACoolidea,United States,32585
4937,prosperity_1,India,32581
4938,SoloArichi,United Kingdom,32556
4939,Rho,United States,32544
4940,Code Geass,India,32538
4941,IMCooked_2,United Kingdom,32421
4942,Jamyni,Australia,32392
4943,Gallo,United Kingdom,32385
4944,TradingCorp,India,32367
4945,Etoile Noire,India,32325
4946,GargantuanPenguins,Antarctica,32300
4947,Common Denominator,India,32294
4948,works_on_my_machine,France,32017
4949,Ephemeral_,United States,31968
4950,Rhinos,United States,31957
4951,Chillest_cooler,India,31847
4952,Since,India,31771
4953,ONE_FROM_INDIA,India,31728
4954,Seal Team 127,United States,31620
4955,Neochan,India,31566
4956,WTC,China,31553
4957,JumpingTraders,India,31427
4958,Frankies,Germany,31369
4959,Pimvdb,Netherlands,31091
4960,Red Wring,Macao,31006
4961,QIN,Australia,30983
4962,The Movement of Intara,United States,30935
4963,Leibniz,India,30816
4964,Profit Cartel,India,30811
4965,Toan,United States,30781
4966,Sand Mafia,India,30475
4967,Iceweasel,India,30440
4968,Raven Capital,United States,30423
4969,OHM,India,30351
4970,I Miss Conasya,Philippines,30326
4971,Leslie Bagholders,Denmark,30294
4972,Impending Doom,United Kingdom,30160
4973,Laddooo,India,30134
4974,DRAG,India,30082
4975,Okish,India,30011
4976,DDDistroyers,India,30008
4977,The Arbitrage,United States,29980
4978,DJT,Australia,29943
4979,quant-titty,United States,29930
4980,Baroque_Technologies,Croatia,29829
4981,Cheval de Troie,France,29735
4982,QuantSurfers,Morocco,29729
4983,High Entropy,India,29462
4984,TheFigNewton,United Kingdom,29380
4985,Opal,United States,29346
4986,MarsMarket,United Kingdom,28853
4987,Fantastic-4,India,28811
4988,MM trader,United States,28807
4989,Smitten,India,28774
4990,NameTeam,France,28760
4991,Monaco Methods,Germany,28736
4992,tradorithm,India,28716
4993,tradeXcrew,India,28668
4994,steve,Indonesia,28655
4995,Cyclone,Hong Kong,28581
4996,flakey,India,28570
4997,Amathyst,United Kingdom,28432
4998,Invega,India,28380
4999,HelioQuant,United Kingdom,28299
5000,NivyHunt,Slovakia,28292
5001,ankuran,India,28198
5002,Era,India,28195
5003,Sparkers,India,28183
5004,WolfOfFlinderStreet,Australia,28124
5005,THE BREIZH TEAM,France,27941
5006,Betraders,India,27940
5007,Ironfist,India,27902
5008,Monolith Pinnacle,India,27889
5009,Poseidon,United States,27765
5010,Avatarice,India,27687
5011,Trying Not to Come Last,Australia,27677
5012,Mello,United States,27637
5013,CodeX,India,27623
5014,Infinity_CS,France,27531
5015,AstraAI,India,27512
5016,Drxwservn,United States,27468
5017,Invincible1949,China,27411
5018,Kacm,Japan,27394
5019,ARIMAWN,Mexico,27328
5020,susour,India,27322
5021,ShanksXT10,India,27319
5022,Qwerty153,India,27213
5023,Money Heist,India,27182
5024,Blah122331,United States,27139
5025,Srikar,India,27124
5026,opticality,Morocco,27079
5027,Chedis,India,27073
5028,Gigglers,United States,27068
5029,ish,United Kingdom,27046
5030,furfurinagar,India,27036
5031,LongTheta,China,26966
5032,Blue Blood,United Kingdom,26965
5033,MD600,France,26932
5034,RogerTree,United States,26900
5035,GreatLordGrombadude,Australia,26884
5036,Signal_CB,India,26823
5037,Dhurandar,India,26751
5038,APEX Gamma,United States,26749
5039,SigmaQuant,Hong Kong,26727
5040,Fine Tunas,Switzerland,26724
5041,blatz,Italy,26651
5042,Alone_Musk,India,26501
5043,The Solo Team,United States,26488
5044,BullBros,India,26452
5045,No1,India,26452
5046,Team 456,United Kingdom,26445
5047,Sharpetitan,United States,26431
5048,HT,United States,26421
5049,ACHIVERS_,India,26333
5050,WhenTheTrade,India,26259
5051,DELTA VECTORS,India,26209
5052,MANISH R K,India,26101
5053,QFIG_UMD,United States,25969
5054,MeanReversion,India,25950
5055,AlgoPraveen NIT Trichy,India,25943
5056,Hack_the_trade,India,25913
5057,Quantizer,India,25871
5058,TheCult,India,25813
5059,Astronomia,India,25799
5060,Synapse Capital,India,25689
5061,ANP,United States,25688
5062,BrainStormerz,India,25637
5063,Trading-first,India,25429
5064,Go Belgium,Belgium,25378
5065,Debug and Profit,United Kingdom,25317
5066,Momentum Destroyers,India,25297
5067,Operation Dhurandhar,United States,25234
5068,Martingale Vagabond,India,25211
5069,trading_mavericks,Netherlands,25204
5070,Dawgs Of wall street,India,25094
5071,WB,India,25090
5072,RenaissanceTechnologies,Germany,25004
5073,The Conqueror,India,25000
5074,brave_Merida,India,24918
5075,Bsds4,India,24841
5076,TristanDaCunha on Mars,Netherlands,24837
5077,Galvin_Prime,India,24764
5078,Alpha Trade,India,24737
5079,gardener,United States,24713
5080,trade for profit,India,24711
5081,baunahunter,India,24630
5082,Alpha Sentinel,India,24539
5083,WeKeepEmOnTheirToes,Canada,24527
5084,ROKA12-52-2,United States,24500
5085,she_took_the_kids,United Kingdom,24458
5086,Eiyuu,United Kingdom,24369
5087,trade_ism,India,24307
5088,C-128,India,24291
5089,DeadCoders,India,24271
5090,Kitty,United States,24009
5091,Feel,India,23959
5092,Jackets,United States,23916
5093,GoldmanStanley,United Kingdom,23911
5094,Robotix,India,23776
5095,Bit4Better,India,23686
5096,Code Knights,India,23655
5097,satoshi_trump,India,23627
5098,The Tech Troubadours,India,23582
5099,Henry Reynolds,United Kingdom,23569
5100,Open Nexus,India,23507
5101,shadow traders,India,23432
5102,loser_always,India,23400
5103,IIIT Delhi,India,23398
5104,Momentum Money,United Kingdom,23232
5105,Gophers,India,23182
5106,KaransTeam,United States,23094
5107,Trading_Entanglement,India,23035
5108,QuantMinds,India,22938
5109,polish power,Poland,22924
5110,BA2 4HL,United Kingdom,22921
5111,The Titans,India,22864
5112,Zodiac,India,22839
5113,Jabor,Spain,22715
5114,Ninjaram,Finland,22681
5115,money,India,22636
5116,Chanakyas_Quant,India,22545
5117,Asthra,India,22497
5118,CosmicTrade,India,22420
5119,Maximus,India,22382
5120,shu prosper slam,United States,22366
5121,Pawn,India,22356
5122,CosmicNarasimha,India,22344
5123,Team Opus,United States,22331
5124,Aryabhatta,United States,22207
5125,Archipelago Alpha,Hong Kong,22198
5126,Stranger,India,22194
5127,Zuidas Gang,Netherlands,22181
5128,DIG,United States,22167
5129,Adamstown Capital,Ireland,22157
5130,exactly_twenty3_letters,India,22156
5131,Darth,United Kingdom,22145
5132,Shankar,United States,22124
5133,Echelon,China,21912
5134,NWA,India,21903
5135,Lerm,United States,21868
5136,Third_Order,India,21849
5137,Infinite Loop,India,21786
5138,Team Utsaah,India,21695
5139,owls_penguins,United States,21691
5140,SigmFlow,Russian Federation,21642
5141,StarBound,United States,21627
5142,Fermats Trade,India,21606
5143,Intergalactic Mosha,Hong Kong,21385
5144,live,United States,21373
5145,pi-thons,United States,21238
5146,QuantMonks,United States,21129
5147,ax1,India,21002
5148,Janice,Hong Kong,20880
5149,CodeMax,India,20873
5150,LetsGOOOO,Germany,20824
5151,ALPHAGRAVITY,India,20795
5152,The Pros in PROSperity,Spain,20775
5153,CACHE FLOW,India,20767
5154,Williamsburg Warriors,United States,20757
5155,Team Tank,United Kingdom,20728
5156,The Unknowns,India,20721
5157,Black Swans,India,20716
5158,NSKN,Germany,20709
5159,2Slow,Australia,20679
5160,Tradingverse,India,20636
5161,Aria,United Kingdom,20608
5162,Dex,India,20592
5163,Apex16,India,20501
5164,Charging Camel,United Kingdom,20445
5165,Alpha Pulse,France,20423
5166,TeamBingo,India,20390
5167,tam_,United States,20184
5168,Xien,China,20183
5169,Aryabhata,India,20136
5170,xaza,United Kingdom,20093
5171,Vibe,United States,20079
5172,QuantyDiva,India,19831
5173,Alpha_X,India,19829
5174,HUNGER,India,19768
5175,Inovation,India,19764
5176,TeamDiamonds,India,19664
5177,Hack_Coders,India,19652
5178,ALSI,India,19593
5179,Lilith-x,India,19575
5180,Bheem ki chaddi,India,19500
5181,physic,United States,19473
5182,Dark_Horse18,India,19438
5183,ZenMasters,India,19357
5184,Quasar Quants,United States,19349
5185,Td_Vincent,United States,19264
5186,Rug Pull Capital 67 Inc,United States,19216
5187,TraderJoe1729,United States,19204
5188,Helio777,India,19197
5189,Barrel n Basis,India,19093
5190,DeltaCore,India,19074
5191,Konnichiwa Boys,India,19063
5192,CHS Trading,India,18836
5193,Ashwin Biju,United Kingdom,18836
5194,AM49,India,18830
5195,Savant,India,18817
5196,Eagles Of Carthage,Tunisia,18803
5197,Cherry,United States,18797
5198,Trade Tarzans,India,18653
5199,NexusQ,India,18584
5200,Innovatrix,India,18467
5201,Abhishek_tranding,India,18454
5202,chiikawa,Australia,18445
5203,Team Quanta,Hong Kong,18281
5204,HackHers,India,18208
5205,Vatsal,India,18154
5206,RemoveJavaGrbgCollector,India,18152
5207,Legacy Arena,India,18066
5208,Pomega,United Kingdom,18014
5209,Auranex,India,17932
5210,ImpactX,India,17925
5211,PointReyes,United States,17903
5212,abhiwar,United Kingdom,17899
5213,trader26,India,17893
5214,Tradingfox League,Germany,17863
5215,PolyWatch,United States,17797
5216,dumbmoneyisnotdumbmoney,India,17752
5217,KIMKIM,United States,17563
5218,GodTrades,United States,17468
5219,KTO,United States,17356
5220,Sqaud11,India,17306
5221,Math7rock,India,17197
5222,Bhrama,United Kingdom,17165
5223,TeamQuantQuestWinner,India,17107
5224,JonAvr,United States,16987
5225,Stone Age,India,16976
5226,rawdogginglife,India,16930
5227,next_year,India,16917
5228,Apollodoor,Romania,16911
5229,Trading Learner,India,16807
5230,HHM,United Kingdom,16751
5231,Xilver,India,16651
5232,CK,United States,16624
5233,BabaBoy,Switzerland,16534
5234,Persassy,India,16534
5235,Sameer,United Arab Emirates,16273
5236,Possible,India,16154
5237,Autumn,India,16126
5238,Lobsterrox,United Kingdom,16080
5239,ylong,Canada,15973
5240,Dude,India,15941
5241,KMH,United States,15936
5242,Iceman,United Kingdom,15816
5243,OutOfTheBox,India,15799
5244,Lepapa,Australia,15795
5245,Partial Basis,United States,15669
5246,Greyhawk Management,United Kingdom,15650
5247,Titans Fc,United States,15615
5248,Nihdaws,India,15563
5249,ab_ig5,United Kingdom,15545
5250,Beastmode37,United States,15537
5251,Code Red,India,15526
5252,burger,India,15526
5253,TremblingHands,India,15515
5254,Incremental Addicts,United States,15508
5255,alpha,India,15352
5256,MeowoeM,India,15336
5257,chazzz_44,India,15316
5258,buz,Australia,15259
5259,GodavariGang,India,15237
5260,triplet,United Kingdom,15202
5261,Non-target,Kazakhstan,15158
5262,Prosperitea,United States,15097
5263,BouncyDinos,India,14938
5264,SPICE,Malaysia,14926
